2013-04-23T09:11:51.2978831,RequestCarSpawnPoint,Participant08
2013-04-23T09:11:51.4226823,OnCarTaken,108
2013-04-23T09:11:51.5474815,ReplyCarSpawnPoint,Player: Participant08| Spawn point: 1
2013-04-23T09:11:53.5442687,RequestCarSpawnPoint,Participant26
2013-04-23T09:11:53.6690679,OnCarTaken,118
2013-04-23T09:11:53.7314675,ReplyCarSpawnPoint,Player: Participant26| Spawn point: 2
2013-04-23T09:11:53.9186663,RequestCarSpawnPoint,Participant10
2013-04-23T09:11:53.9810659,OnCarTaken,106
2013-04-23T09:11:54.0434655,ReplyCarSpawnPoint,Player: Participant10| Spawn point: 3
2013-04-23T09:11:55.2914575,RequestCarSpawnPoint,Participant09
2013-04-23T09:11:55.2914575,OnCarTaken,106
2013-04-23T09:11:55.2914575,ReplyCarSpawnPoint,Player: Participant09| Spawn point: 4
2013-04-23T09:11:55.7906543,RequestCarSpawnPoint,Participant30
2013-04-23T09:11:55.7906543,OnCarTaken,100
2013-04-23T09:11:55.9778531,ReplyCarSpawnPoint,Player: Participant30| Spawn point: 5
2013-04-23T09:11:56.9138471,RequestCarSpawnPoint,Participant14
2013-04-23T09:11:56.9138471,OnCarTaken,106
2013-04-23T09:11:57.0386463,ReplyCarSpawnPoint,Player: Participant14| Spawn point: 6
2013-04-23T09:11:58.4738371,RequestCarSpawnPoint,Participant27
2013-04-23T09:11:58.4738371,OnCarTaken,118
2013-04-23T09:11:58.5986363,ReplyCarSpawnPoint,Player: Participant27| Spawn point: 7
2013-04-23T09:12:00.5330239,RequestCarSpawnPoint,Participant24
2013-04-23T09:12:00.5330239,OnCarTaken,106
2013-04-23T09:12:00.6578231,ReplyCarSpawnPoint,Player: Participant24| Spawn point: 8
2013-04-23T09:12:03.3410059,RequestCarSpawnPoint,Participant25
2013-04-23T09:12:03.4658051,OnCarTaken,106
2013-04-23T09:12:03.5282047,ReplyCarSpawnPoint,Player: Participant25| Spawn point: 9
2013-04-23T09:12:04.7137971,RequestCarSpawnPoint,Participant07
2013-04-23T09:12:04.7137971,OnCarTaken,118
2013-04-23T09:12:04.9009959,ReplyCarSpawnPoint,Player: Participant07| Spawn point: 10
2013-04-23T09:12:05.3377931,RequestCarSpawnPoint,Participant32
2013-04-23T09:12:05.4001927,OnCarTaken,106
2013-04-23T09:12:05.6497911,ReplyCarSpawnPoint,Player: Participant32| Spawn point: 11
2013-04-23T09:12:08.3329739,RequestCarSpawnPoint,Participant02
2013-04-23T09:12:08.5825723,OnCarTaken,124
2013-04-23T09:12:08.7697711,ReplyCarSpawnPoint,Player: Participant02| Spawn point: 0
2013-04-23T09:12:10.1425623,RequestCarSpawnPoint,Participant34
2013-04-23T09:12:10.1425623,OnCarTaken,106
2013-04-23T09:12:10.2673615,ReplyCarSpawnPoint,Player: Participant34| Spawn point: 1
2013-04-23T09:12:16.8817191,RequestCarSpawnPoint,Participant36
2013-04-23T09:12:16.8817191,OnCarTaken,106
2013-04-23T09:12:16.9441187,ReplyCarSpawnPoint,Player: Participant36| Spawn point: 2
2013-04-23T09:12:21.1872915,RequestCarSpawnPoint,Participant39
2013-04-23T09:12:21.3120907,OnCarTaken,118
2013-04-23T09:12:21.4368899,ReplyCarSpawnPoint,Player: Participant39| Spawn point: 3
2013-04-23T09:12:25.6176631,RequestCarSpawnPoint,Participant37
2013-04-23T09:12:25.6176631,OnCarTaken,106
2013-04-23T09:12:25.6800627,ReplyCarSpawnPoint,Player: Participant37| Spawn point: 4
2013-04-23T09:12:26.5536571,RequestCarSpawnPoint,Participant04
2013-04-23T09:12:26.6160567,OnCarTaken,106
